ethnic_group,fsm_good_pass_pct,fsm_n,non_fsm_good_pass_pct,non_fsm_n,gap_pp
Chinese,75.3,227.0,78.5,3157.0,3.200000000000003
Bangladeshi,48.8,3790.0,61.2,7193.0,12.400000000000006
Indian,48.6,1676.0,72.1,17931.0,23.499999999999993
Any other Asian background,44.0,2612.0,67.3,9540.0,23.299999999999997
Black African,42.0,8720.0,53.9,17615.0,11.899999999999999
Pakistani,36.2,7664.0,49.6,19581.0,13.399999999999999
White and Asian,33.0,1962.0,62.6,6825.0,29.6
Any other Mixed background,31.3,3761.0,56.1,9820.0,24.8
Any other White background,30.6,6698.0,51.0,31412.0,20.4
White and Black African,29.7,1724.0,51.5,3350.0,21.8
Any other Black background,29.1,1755.0,45.4,3108.0,16.299999999999997
Caribbean,22.2,2713.0,36.9,4075.0,14.7
White Irish,19.4,299.0,62.3,1352.0,42.9
White and Black Caribbean,19.2,3713.0,37.7,5570.0,18.500000000000004
White British,18.0,80990.0,48.9,311536.0,30.9
Traveller of Irish heritage,9.5,126.0,33.3,63.0,23.799999999999997
Gypsy/Roma,3.3,768.0,12.7,661.0,9.399999999999999
